id,fecha,hora,titulo,descripcion,categoria,lugar
1,2019-01-06,19:00:00,CAMPAÑA INMIGRACION SI. CICLO CINE INMIGRANTES EN FOCO,PERSEPOLIS DE MARJANE STRAPI Y VINCEN PARONNAUD,FUNCION,CENTRO CULTURAL RECOLETA
2,2019-01-06,21:00:00,CINE RECOLETA + RADAR,RECCOLETA VERGEL DE CRIS NIKLISON + CORTO RADAR: LA FABRICA DE JOEL CORTINA SUAREZ,FUNCION,CENTRO CULTURAL RECOLETA
3,2019-01-07,20:30:00,CINE RECOLETA + CORTORADAR,CINE RECOLETA: LOS CORROBORADORES DE LUIS BERNARDEZ | CORTO RADAR: LOS LOCOS NO SE OCULTAN DE FRANCISCO BOUZAS,FUNCION,CENTRO CULTURAL RECOLETA
4,2019-01-07,13:30:00,DOMA,CONTINUA LA 1° GRAN MUESTRA ANUAL DEL COLECTIVO DOMA. HASTA EL 12 DE SEPTIEMBRE,EXPOSICION,CENTRO CULTURAL RECOLETA
5,2019-01-07,13:30:00,CAMPAÑA FUEGO AMIGO,APERTURA FACHADA CENTRO CULTURAL RECOLETA,EXPOSICION,CENTRO CULTURAL RECOLETA
6,2019-01-07,13:30:00,MUESTRA RADAR,ESTACION ESPACIAL HAWAII DE JUAN VEGETAL / OXIDADO DE NAZARENO PEREYRA. HASTA EL 29 DE JULIO,EXPOSICION,CENTRO CULTURAL RECOLETA
7,2019-01-07,13:30:00,MUESTRA RADAR,TACO DE OJO: LATINO TOONS. CURADORES: ERNAN CIRIANNI Y NAVA. HASTA EL 29 DE JULIO,EXPOSICION,CENTRO CULTURAL RECOLETA
8,2019-01-07,13:30:00,CAMPAÑA INMIGRANTES,CIERRE MUESTRA INMIGRANTES,EXPOSICION,CENTRO CULTURAL RECOLETA
9,2019-01-07,15:00:00,CLAVE 13/17,CLAVETOPIA. LOS JUEGOS DE CLAVE + RECITAL INEDITO CLAVE. JULIETA GIBERT + RECITAL DE AMIGOS CLAVE. MARIA Y MIRANDA + KARAOKE ENTRE AMIGOS CLAVE. CONDUCE NCO ZUVIRIA,CICLO,CENTRO CULTURAL RECOLETA
10,2019-02-06,21:00:00,ASUNTOS QUE QUEMAN,ENSAYO ESCENICO DIGITAL DE JIMENA PEREZ SALERNO,FUNCION,CENTRO CULTURAL RECOLETA
11,2019-02-06,17:00:00,VOY Y VUELVO,TALLER DE HISTORIETA IMPARTIDO POR EL GRUPO LA WATSON,FORMACION,CENTRO CULTURAL RECOLETA
12,2019-02-06,15:00:00,CULTURA HIP HOP /FDL,BREAKIN GOLD KIDS 1 VS 1 CON JURADOS INVITADOS + CLASE Y CHARLA CON VICTORIN ROCK - ARGENROCKERS.,ENCUENTRO,CENTRO CULTURAL RECOLETA
13,2019-02-06,15:00:00,CULTURA HIP HOP /FDL,BREAKIN GOLD KIDS 1 VS 1 CON JURADOS INVITADOS + CLASE Y CHARLA CON VICTORIN ROCK - ARGENROCKERS.,ENCUENTRO,CENTRO CULTURAL RECOLETA
14,2019-03-01,20:00:00,CINE MUJERES DE PELICULA,CEMENTERIO DE ANIMALES DE MARY LAMBERT. CURADORAS: EL CLUB DE LAS CINCO,FUNCION,CENTRO CULTURAL RECOLETA
15,2019-03-01,19:00:00,"DULCE PAJARO DE JUVENTUD, DE TENNESSEE WILLIAMS","DULCE PAJARO DE JUVENTUD DE TENNESSEE WILLIAMS Y DIRIGIDA POR OSCAR BARNEY FINN. CON LAS ACTUACIONES DE BEATRIZ SPELZINI, SERGIO SURRACO, CARLOS KASPAR, MALENA FIGO, VICTORIO D'ALESSANDRO, PABLO MARIUZZI, MABY SALERNO, PABLO FLORES MAINI, GASTON ARES, SEBASTIAN DARTAYETTE; Y PABLO VIOTTI EN EL PIANO.",FUNCION,CENTRO CULTURAL 25 DE MAYO
16,2019-03-02,21:00:00,CINE,"UNA AVENTURA SIMPLE (62´) DE IGNACIO CEROI Y CATCH, EL OCASO DE LOS IDOLOS (9´) DE FELIPE BOZZANI",FUNCION,CENTRO CULTURAL RECOLETA
17,2019-03-02,19:00:00,TEATRO: LAS CHICAS SE RIEN,BIMBO GODOY. CURADORA: MALENA GUINZBURG,FUNCION,CENTRO CULTURAL RECOLETA
18,2019-03-02,19:00:00,"DULCE PAJARO DE JUVENTUD, DE TENNESSEE WILLIAMS","DULCE PAJARO DE JUVENTUD DE TENNESSEE WILLIAMS Y DIRIGIDA POR OSCAR BARNEY FINN. CON LAS ACTUACIONES DE BEATRIZ SPELZINI, SERGIO SURRACO, CARLOS KASPAR, MALENA FIGO, VICTORIO D'ALESSANDRO, PABLO MARIUZZI, MABY SALERNO, PABLO FLORES MAINI, GASTON ARES, SEBASTIAN DARTAYETTE; Y PABLO VIOTTI EN EL PIANO.",FUNCION,CENTRO CULTURAL 25 DE MAYO
19,2019-03-03,20:00:00,CINE,"ESTILO LIBRE (65’) DE JAVIER ZEVALLOS Y JUAN ZEVALLOS. CATCH, EL OCASO DE LOS IDOLOS (9’) DE FELIPE BOZZANI",FUNCION,CENTRO CULTURAL RECOLETA
20,2019-03-03,19:30:00,RECITAL CHICAS DE FUEGO.,CURADORA: ALBINA CABRERA. MUSICA: PRISCILA BERMUDAS + MORA RIEL + DJ MALEN DENIS. 1,CONCIERTO,CENTRO CULTURAL RECOLETA
21,2019-03-03,16:30:00,HIP HOP FDL,"ENTRENAMIENTOS, BATALLAS, EXHIBICIONES",CICLO,CANCHA DE LOS PARAGUAYOS
